user_id,login,name,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
7544049,DanielEdu,Daniel Eduardo Portugal Revilla,7,19,10,2.7142857142857144,4326,0.5906148867313916,42,19,2.210526315789474,3,81,"Scala, Python",Scala,2,3,P,0.7142857142857143,0.14285714285714285,0,1,True
22333076,enzoftware,Enzo Lizama Paredes ,32,415,133,12.96875,3462,3.3737723859041013,304,1332,0.22822822822822822,7,985,"Dart, Kotlin, Java",Dart,9,7,J,1.0,0.15625,26,5,True
1412870,sirghost,Jimmy Valverde Sanchez,4,5,0,1.25,5151,0.283440108716754,20,207,0.0966183574879227,1,25,"Jupyter Notebook, Scala",Jupyter Notebook,2,1,J,1.0,0.5,2,1768,False
14990458,popehiflo,Pool Petter Hijuela Florian,5,6,2,1.2,3813,0.4786257539994755,7,5,1.4,1,17,"JavaScript, Java, CSS",JavaScript,3,5,S,1.0,0.2,0,189,False
31930527,MrBrault,Justin Brault,2,4,2,2.0,3105,0.2351046698872786,3,0,3.0,2,11,HTML,HTML,1,1,J,1.0,0.0,3,1207,False
88926388,Jose-pe,Jose L. Corazao,15,18,0,1.2,1674,3.270609318996416,85,101,0.8415841584158416,2,103,"PHP, HTML, CSS",PHP,6,1,J,0.9333333333333333,0.0,0,215,False
8814630,JairFrancesco,Jair Francesco,6,20,6,3.3333333333333335,4196,0.5219256434699714,19,8,2.375,2,51,"JavaScript, C++, C#",JavaScript,5,5,J,0.6666666666666666,0.3333333333333333,1,2300,False
34093991,omhmichaels,Michael  Martin,7,17,9,2.4285714285714284,3028,0.8437912813738441,51,286,0.17832167832167833,2,86,"Java, Mustache, Shell",Java,5,2,J,0.8571428571428571,0.8571428571428571,0,1384,False
387111,PuercoPop,Javier Olaechea,5,18,1,3.6,5671,0.321812731440663,223,711,0.3136427566807314,3,243,"Common Lisp, Python",Common Lisp,2,1,J,0.8,0.6,0,834,False
34749770,hershak,Galia,1,1,0,1.0,3005,0.12146422628951746,3,5,0.6,1,4,,,0,1,J,1.0,0.0,0,3005,False
54015740,sheylaPozo,Sʜᴇʏʟᴀ Pᴏᴢᴏ,49,141,2,2.877551020408163,2407,7.430411300373909,81,61,1.3278688524590163,5,226,"JavaScript, Ruby, HTML",JavaScript,6,5,J,0.9795918367346939,0.4897959183673469,1,1345,False
1317294,jardix22,Joseph Ramos,2,6,0,3.0,5178,0.1409810737736578,24,32,0.75,2,30,"Ruby, JavaScript",Ruby,2,1,J,0.5,0.0,2,5116,False
343265,mjambon,Martin Jambon,40,736,89,18.4,5712,2.5560224089635857,320,177,1.807909604519774,13,1234,"OCaml, Shell, Makefile",OCaml,5,5,J,1.0,0.775,44,9,True
42551197,AsulconS,Adrian Bedregal,12,24,1,2.0,2763,1.5852334419109664,20,24,0.8333333333333334,3,46,"C++, JavaScript, Python",C++,6,6,M,1.0,0.3333333333333333,1,43,True
33587369,blackadress,Erland,5,15,10,3.0,3045,0.5993431855500821,15,29,0.5172413793103449,2,50,"HTML, Python, Go",HTML,4,2,J,0.4,0.0,9,425,False
76859196,Husdady,Imanol Enrique,1,3,0,3.0,1898,0.1923076923076923,7,9,0.7777777777777778,1,10,JavaScript,JavaScript,1,1,R,1.0,0.0,0,1631,False
185739372,LizandroTanta,Lizandro Tanta,5,5,0,1.0,510,3.5784313725490193,2,2,1.0,1,7,Java,Java,1,3,J,0.4,0.2,1,104,False
76046080,axl72,Axl,3,14,1,4.666666666666667,1916,0.5715031315240083,4,19,0.21052631578947367,1,20,"Python, TypeScript",Python,2,2,J,0.6666666666666666,0.3333333333333333,0,170,False
16582728,RichardZC,Richard Zapata,1,1,2,1.0,3720,0.09811827956989247,2,0,2.0,1,7,VBA,VBA,1,1,J,0.0,0.0,0,1725,False
64216614,acidcoolffc,,2,24,1,12.0,2151,0.3393770339377034,15,0,15.0,2,41,"Svelte, JavaScript",Svelte,2,2,J,0.5,0.5,16,1165,False
70618781,FernandoGavilan2000,Fernando Ramiro Gavilán Hernández,3,10,0,3.3333333333333335,2020,0.5420792079207921,3,8,0.375,2,13,"CSS, Dart, JavaScript",CSS,3,3,J,1.0,0.0,0,1153,False
10676479,calberto185,carlosVM,2,2,2,1.0,4068,0.17944936086529006,2,16,0.125,1,8,Java,Java,1,2,J,1.0,0.0,4,3519,False
2100779,rikardocorp,Ricardo Coronado,3,18,4,6.0,4969,0.22036627087945262,4,3,1.3333333333333333,2,30,"Jupyter Notebook, Python, HTML",Jupyter Notebook,3,2,M,1.0,0.0,0,2557,False
750525,mama21mama,guagua,2,4,1,2.0,5438,0.13424052960647295,7,4,1.75,2,13,Shell,Shell,1,1,J,1.0,0.5,0,1960,False
45292867,dqarias,Dino Ronald Quispe Arias,6,33,0,5.5,2669,0.8205320344698389,30,39,0.7692307692307693,4,63,"JavaScript, CSS, SCSS",JavaScript,3,2,J,1.0,0.0,5,1246,False
23284899,ambarja,Antony Barja ,9,73,7,8.11111111111111,3416,0.9616510538641686,257,464,0.5538793103448276,4,344,"R, JavaScript, HTML",R,3,3,M,1.0,0.5555555555555556,4,3,True
